source_id_dr3,source_id_dr2,angular_distance,sobject_id,teff,logg,fe_h,alpha_fe,snr_c3
604902923387008000,604902923387008000,0.0059072264,140112002802049,5735.66,4.392833,-0.039641,0.045506,154.3552
5754153989248761856,5754153989248761856,0.0078121126,140114004201225,5123.28,4.593538,-0.073088,0.023484,49.8054
5421085013523928064,5421085013523928064,0.0078486055,140409001401376,5766.4,3.914336,-0.125319,,31.2492
5673521166586680320,5673521166586680320,0.014934243,140305002601187,4933.8,4.49907,-0.007162,0.1484,41.4938
584692147321039872,584692147321039872,0.015532953,140310003301321,4640.04,1.779015,-2.005711,0.368624,55.4985
5420976058795764480,5420976058794360832,0.015634516,140409001401007,6211.49,4.037706,0.152457,0.050269,30.3245
4757418936007690240,4757418936007690240,0.016306104,131123003001062,4816.84,2.443298,-0.387599,0.225079,63.27
6164518563691338752,6164518563691338752,0.017622976,140710000101265,5340.27,4.522723,-0.253668,0.17147,70.0795
6770238076331060224,6770238076331060224,0.0199856,140608004301166,6568.27,4.200627,-0.267221,0.002112,50.5789
604914949295285376,604914949295285376,0.02045898,140112002802209,5234.74,4.471172,-0.144918,0.02938,66.5353
582903516780659200,582903516780659200,0.021006089,140310003301113,4759.0,2.500397,-0.109839,0.142458,36.2409
5737729381473724416,5737729381473724416,0.021658156,140413002201378,5561.17,4.473857,0.122906,-0.067238,36.2343
4676610706875942912,4676610706875942912,0.022688841,140308000101074,4704.12,2.607785,-0.433307,0.313659,46.5941
6796496063262986240,6796496063262986240,0.023461534,140607001401297,5837.4,4.134087,0.330729,-0.00681,32.8919
3459515862517096960,3459515862517096960,0.02423492,140415002401059,5749.83,3.890052,-0.098646,-0.003791,36.0769
5375409170203367424,5375409170203367424,0.026604563,140310003801202,6227.41,4.127096,-0.153883,0.067032,82.4146
3322396282814150656,3322396282814150656,0.026791988,140117001501038,5570.14,4.059372,0.275208,0.108143,47.2416
4207673563177946624,4207673563177946624,0.027778259,140611003501115,4876.43,2.998149,0.07936,0.011104,37.4983
6031880382929030144,6031880382929030144,0.028496658,140414005101308,6062.23,4.064484,-0.374827,0.144356,30.3904
5394724321027437568,5394724321027437568,0.029212859,140608001401162,4703.87,2.468298,-0.300234,0.104171,36.3063
4760587075678441472,4760587075678441472,0.02971567,140113002301242,4891.12,2.434258,-0.5012,0.266775,47.6099
6460840383350546816,6460840383349966848,0.03068645,140713004002203,5882.02,4.140115,-0.074531,0.055999,33.1919
604910443873993600,604910443873993600,0.032022953,140209002702026,6040.31,4.1022,-0.073435,0.000534,109.0623
6643137658890364928,6643137658890364928,0.032261577,140611004001354,5880.31,4.189175,-0.28241,0.046238,30.8247
6085300949938273280,6085300949938273280,0.032758042,140414003601048,5414.63,4.477373,0.045416,0.020148,38.1507
6081070956910942208,6081070956910942208,0.03502528,140713001401052,6211.85,4.184028,0.104281,0.025696,32.2568
6038130694217107456,6038130694217107456,0.03517265,140609003102108,4265.6,1.842077,-0.443656,0.239904,57.1265
3084153141234898432,3084153141234898432,0.035790212,140309002602329,5907.1,4.091587,0.169817,0.137673,42.414
5281551421680347136,5281551421680347136,0.03592119,140314002601117,6153.27,4.091566,-0.546963,0.17731,59.0919
3084131494600039936,3084131494600039936,0.036671445,140309002602361,4941.85,3.456119,-0.165507,0.010027,88.5126
3459792733288804864,3459792733288804864,0.03684775,140415002401222,5894.06,4.05777,0.27355,0.020348,54.6982
5436740890872892416,5436740890872892416,0.036870502,140314004002378,4924.21,3.270147,-0.364652,0.318862,43.659
6002101283030579200,6002101283030579200,0.037282564,140609001601133,6230.16,4.2147,-0.060013,0.027446,30.1053
3119353284444982784,3119353284444982784,0.038596943,140111002102243,5623.05,4.358054,-0.151165,0.040897,73.5791
5910997536250558464,5910997536250558464,0.038957957,140610005001395,4203.15,1.57891,-0.475724,0.18992,125.3166
5820252947525107712,5820252947525107712,0.039920762,140312004501033,5835.06,4.109711,0.070987,0.022328,50.7597
5294325032375677952,5294325032375677952,0.0401791,140307001101277,5211.95,4.463965,-0.159633,0.065847,45.8188
5293590627327158272,5293590627327158272,0.040803198,131216002101157,4990.36,3.228104,-0.140291,0.105453,46.4132
5382173365735838720,5382173365735838720,0.04095093,140413003201287,5638.64,4.478874,-0.143207,0.063297,30.8809
2546223296455626240,2546223296455626240,0.041625846,131217001801158,5397.63,4.413177,-0.110539,0.129621,37.0466
3461089366735467520,3461089366735467520,0.04213952,140415002401393,6195.64,4.065571,-0.613858,0.114166,49.0127
6164365250538725376,6164365250538725376,0.042877514,140710000101144,4755.49,2.443726,-0.202998,0.162565,52.1383
5948275206700821504,5948275206700821504,0.043687295,140707001601317,4457.72,2.213665,-0.040787,0.05373,44.926
2894185088466784256,2894185088466784256,0.044032466,140310002101016,6132.33,3.935957,0.048809,0.178092,41.7538
6082333780372989952,6082333780372989952,0.044082467,140311008101018,6205.59,3.965609,-0.199981,0.00499,50.452
596868925065571200,596868925065571200,0.044146616,140310003301272,4827.93,4.53449,0.053556,0.066615,56.7583
6262003463636364288,6262003463636364288,0.044346806,140311009101049,4820.01,3.421611,-0.213234,0.264349,43.3515
6002144370143808512,6002144370143808512,0.044599447,140609001601151,4544.14,2.25647,-0.036751,0.210254,40.8846
5535227480267376640,5535227480267376640,0.044907868,140310002701087,4612.96,2.196084,-0.677296,0.166861,60.3353
5480455789563165696,5480455789563165696,0.044998627,131121001901102,4571.88,1.787241,-0.727381,0.330803,66.6448
5281489299273627648,5281489299273627648,0.04693321,140314002601064,6011.33,4.04337,0.207036,0.040521,60.1594
3323266855505650688,3323266855505650688,0.047334634,140117001501276,6115.48,4.241198,-0.21744,0.001942,56.79
6129277120080570368,6129277120080570368,0.047450524,140707000101231,5998.89,4.139062,0.069667,0.036151,45.7423
5390775910350617600,5390775910350617600,0.047525167,140303000402122,6229.49,4.14038,-0.017524,-0.024913,106.1973
5375387832807202688,5375387828505038848,0.047531184,140310003801216,5618.29,3.922771,-0.719086,0.044795,52.4387
5915124999834787840,5915124999834787840,0.047537882,140805000902068,4430.07,2.471086,-0.148718,0.045297,63.628
3475145970060191232,3475145970060191232,0.048995323,140303001002008,6212.03,4.093406,0.084572,-0.267141,150.2131
6032270851315200000,6032270851315200000,0.04914235,140409003601013,5643.5,4.373145,0.294182,0.031374,58.2254
5483777242392226816,5483777242392226816,0.049230922,131121001901240,4720.64,2.411926,-0.83412,0.271661,72.9497
3472609877771825664,3472609877771825664,0.05019408,140412001201014,5484.22,4.366195,-0.079762,0.04044,39.7324
5481371957626608640,5481371957626608640,0.05080722,131217002801004,4816.29,2.656657,-0.622316,0.273418,63.6699
6126752881903630336,6126752881903630336,0.051242504,140312003001202,4981.79,3.155155,-0.135568,0.045825,49.9332
6004350677656372224,6004350677656372224,0.052219342,140412002201269,5614.94,4.279869,0.01141,0.030656,31.2024
5584322770390208512,5584322770390208512,0.053132,140310002101009,6010.48,4.021569,-0.045316,0.019937,60.1082
5376044516124796928,5376044516124796928,0.05352893,140413003201064,5994.17,4.114973,-0.051685,-0.071796,47.9834
5196847244899090432,5196847244899090432,0.054011166,140307001602081,5374.65,3.947349,0.050054,0.052251,81.7554
5821342327340550144,5821342327340550144,0.054472085,140709002501170,4986.52,4.53109,0.398015,0.015404,32.7323
6235963523604401152,6235963523604401152,0.054840263,140414004601134,6015.25,4.189593,-0.496876,0.068969,46.2728
5376877533621428224,5376877533621428224,0.05507814,140413003201202,4402.56,4.628076,0.158891,0.072675,48.5589
5479554052589483008,5479554052589483008,0.05579186,131218002401210,4803.19,2.387373,-0.274021,0.122724,37.1111
4127563631333753344,4127563631333753344,0.05598099,140413005901113,4489.91,2.178022,-0.102734,0.014719,37.8709
584443962636097280,584443962636097280,0.056324247,140310003301099,7287.86,4.005887,0.00929,-0.270744,53.9761
5485442590191102976,5485442590191102976,0.056991503,140305001801017,4388.71,1.325145,-1.37316,0.105225,34.1006
5795789677106225152,5795789677106225152,0.05725552,140611001601073,4780.83,2.662679,-0.228601,0.132454,37.2312
5634319075936077824,5634319075936077824,0.057507038,140412000201388,4711.11,2.270416,-0.334974,0.027579,56.1782
2545528679985557504,2545528679985557504,0.057526458,131217001801021,4747.8,4.599002,0.188576,-0.011456,37.2626
6148141337998402816,6148141337997255680,0.058191195,140409002001194,4504.18,2.388226,-0.659535,0.245659,37.3307
4761025609018990592,4761025609018990592,0.058231577,140309002102386,5047.02,3.451542,-0.732246,0.291451,57.0934
3107287862320011264,3107287862320011264,0.058257896,131216001602167,5752.19,4.313011,0.341048,-0.027095,63.5939
5363162088140703744,5363162088140703744,0.05846616,140311007101114,4809.95,2.385654,-0.34796,0.111135,43.6578
5479511102916656128,5479511102916656128,0.0584844,131218002401202,4543.5,2.175452,-0.277385,0.080105,65.9838
5914375923173128192,5914375923173128192,0.058945544,140610003901359,4458.4,1.503649,-1.433735,0.11564,35.1203
6161970990953639936,6161970990953639936,0.059110336,140312003501044,5586.26,3.971219,-0.012313,0.081347,65.9951
5295508003807689728,5295508003807689728,0.0594562,140209002202289,4797.58,2.585846,-0.522862,0.033805,41.2252
6013764902368315392,6013764902368315392,0.060223516,140311008702059,5426.26,3.574115,-0.307627,0.025173,69.1595
6262078814542523392,6262078814542523392,0.060233317,140311009101222,4650.67,2.799228,-0.527947,0.195099,45.8099
3083929253179504640,3083929253179504640,0.060686897,140309002602397,5314.79,4.257041,0.12662,0.123425,60.2555
4128067168986743808,4128067168986743808,0.061918184,140413005401076,4519.47,1.397748,-2.56507,0.359834,50.6802
6093312507055715328,6093312507055715328,0.06241326,140409003001087,4758.66,2.499814,-0.205289,0.15406,33.6694
4127830709574832640,4127830709574832640,0.06279512,140413005901191,4682.27,2.523237,-0.135925,0.16314,39.6153
5282404883221629952,5282404883221629952,0.06344572,140314002601284,6133.19,4.169571,-0.334921,0.028008,63.032
6778841754811975680,6778841754811975680,0.06370885,140707002601003,5637.76,4.021492,-0.514576,0.289704,41.063
2545413299983344128,2545413299983344128,0.06391523,131217001801101,5290.7,3.760344,-0.247837,0.060666,80.6153
5480949676442830848,5480949676442830848,0.06397255,131123003501239,4905.25,4.572254,0.1064,0.020706,49.1887
5494534761078422528,5494534761078422528,0.0640166,131118003401121,4304.14,1.856441,-0.564159,0.240152,50.2436
5823375530506161152,5823375530506161152,0.06460287,140312004501245,4445.72,2.177829,-0.201363,0.101596,73.4871
6654064979110632448,6654064979110632448,0.06561918,140611003001155,4438.21,2.391234,0.147673,0.100346,84.2504
5479658815432183808,5479658815432183808,0.066395015,140305001802085,4716.42,2.422757,-0.592433,0.026816,57.0054
6696974283671907328,6696974283671907328,0.06650434,140708004101215,6069.66,4.091078,-0.043722,0.025665,38.5912
5376028332686837760,5376028332686837760,0.0666726,140413003201163,4589.45,2.752281,-0.040256,0.119353,68.8034
6081067898894326784,6081067898894326784,0.067468025,140713001401051,6070.54,3.888846,-0.226526,-0.077514,31.6604
5948047023678125056,5948047023678125056,0.067694835,140611002501151,5046.12,3.266807,-0.112384,0.005081,58.4507
583120051851865088,583120051851865088,0.06772069,140310003301141,5254.67,4.517627,0.062364,-0.014478,63.6245
6108098224028876800,6108098224028876800,0.068011746,140412001701226,5750.88,4.397942,0.11828,0.03832,36.0929
6398094484568351744,6398094484568351744,0.0686397,140707003601168,4982.46,3.612384,-0.348876,0.213664,40.3524
5395112281131432960,5395112281131432960,0.069658615,140608001401339,5752.22,4.053956,0.112706,0.022149,49.4747
6095305165720638464,6095305165720638464,0.069921285,140313004701258,4851.47,3.164145,-0.435484,0.239696,61.0718
4762822520255984640,4762822520255984640,0.06999471,131216001101335,4363.54,4.651342,-0.231084,0.044728,34.4092
5503785880116464640,5503785880116464640,0.07008428,140316001801176,4436.72,1.796145,-0.66796,0.251477,77.973
5924588084100470784,5924588084100470784,0.07085139,140708002701251,4531.78,2.331704,-0.028372,0.035847,32.6644
5486183867187405824,5486183867187405824,0.07089868,140114003701164,4596.94,2.594009,-0.423144,0.276537,44.0101
6439416326268864512,6439416326268864512,0.07102798,140713003101064,6236.96,4.033962,-0.506747,0.129015,30.2315
6141429708564217856,6141429708564217856,0.07131132,140315002102076,5399.86,3.880409,-0.458374,0.170804,34.1327
3119349195636222464,3119349195636222464,0.071450256,131216001602221,5251.17,2.660923,-0.174747,-0.007212,68.6388
5818413400160424960,5818413400160424960,0.07198882,140610003901199,4609.83,2.473936,-0.008784,-0.034272,36.1734
6085770235244985344,6085770235244985344,0.07236679,140414003601327,5906.37,4.00303,-0.085223,-0.080558,37.689
3323321796727264768,3323321796727264768,0.07261578,140118002001277,7499.36,3.697397,-1.503283,,37.223
6719437027052782592,6719437027052782592,0.072945386,140709003001144,6333.78,4.088314,-0.166277,0.074881,41.0662
6102512773679002624,6102512773679002624,0.07378633,140608002501207,5978.65,4.364277,-0.01928,-0.031329,55.5262
6242064541822472192,6242064541822472192,0.07414036,140414004601036,4687.2,2.258484,-0.445678,0.485406,30.6289
6770600670347475968,6770600670347475968,0.074644186,140608004301015,5299.23,4.488755,-0.028627,0.062249,41.5191
5390806387438337024,5390806387438337024,0.07551018,140303000402207,4985.66,3.183116,-0.486374,0.082069,119.3749
6125979272395293696,6125979272395293696,0.07610891,140312003001175,4642.03,2.321301,-0.051304,0.10022,67.6765
5480614668993501184,5480614668993501184,0.077016674,131121001901143,4913.47,3.279763,-0.083538,0.026257,81.5122
2966835113112339968,2966835113112339968,0.07727668,140209001701193,5824.64,4.217241,-0.448199,0.057278,68.4447
6236287157978173440,6236287157978173440,0.07766639,140414004601248,5021.16,3.535065,-0.215832,0.182369,31.4386
2545393818011696640,2545393818011696640,0.07809222,131217001801085,5660.32,4.333246,-0.151314,0.04564,77.1707
6262056820010540032,6262056820010540032,0.07829576,140311009101076,5612.39,4.431107,-0.304437,0.054264,57.5179
