source_id,ra,dec,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,ebpminrp_gspphot,ruwe,radial_velocity_error,rv_nb_transits,teff_gspphot,logg_gspphot,mh_gspphot,alphafe_gspspec,fem_gspspec,ew_espels_halpha,ew_espels_halpha_flag,nss_solution_type,has_rvs_spectrum,has_bprp_spectrum
1244571953471006720,206.8133909945028,17.457173637726076,64.04697623237095,0.10931693,-468.9225601068748,63.46858141462215,4.356021,0.0,0.86741585,0.1532612,18,6319.2407,4.1688,-0.0794,0.3,0.0,0.07676962,0,,True,True
3400292798990117888,81.10726354597193,17.38350331190306,68.59075963795857,0.10395148,250.48290468501668,-7.156277817184632,4.8501883,0.0,0.82053745,0.13817266,23,6065.778,4.2062,-0.4967,0.24,,0.049623534,0,,True,True
5945941905576552064,266.0361549633902,-51.8349016618794,64.08529417744371,0.09042354,-15.03365551054608,-190.90057499776287,4.942752,0.0,0.8579926,0.1265034,18,5590.9136,4.22,-0.023,-0.03,-0.14,0.0074549625,0,,True,True
4315804351350378496,291.24577656808344,11.947271123353104,67.01526888035684,0.065657094,721.2921943048541,642.9684532716341,4.9713717,0.0,0.71956986,0.11831059,29,5465.647,4.1026,0.1898,-0.1,-0.16,-0.030522306,0,,True,True
3212075924646082176,77.18231993661391,-4.456136052979699,39.439379906617084,0.09299808,54.27815536927694,16.252363020034437,4.9814367,1e-04,1.0841469,0.121187896,31,6280.416,3.8863,-0.8999,0.16,-0.15,0.0720482,0,,True,True
798068905726303232,143.9106108359265,35.80898121341234,89.009238360773,0.09367613,-726.5138772891685,-259.0574508049622,5.200431,0.0,1.0087707,0.11927689,16,5455.0293,4.4107,-0.1918,-0.03,-0.13,-0.012086303,0,OrbitalTargetedSearch,True,True
746545172372256384,150.24996758591067,31.92176197567589,66.99581320003026,0.09214865,-528.8706141097352,-429.37565915124185,5.2049575,0.0,0.9407839,0.12165629,24,5759.9775,4.2297,-0.2052,0.03,-0.07,0.014871961,0,,True,True
1333760419707327744,260.16557980211155,32.46311742250856,68.55754109923836,0.05527961,135.8104459559967,-1040.952821790978,5.2098746,0.0,1.2092994,0.12254109,18,5630.0605,4.284,-0.7217,0.3,-0.1,0.021066852,0,,True,True
4772547941122028672,79.8423924881069,-50.60495484354134,27.869370365417826,0.046873327,23.314413694103166,227.76790604631572,5.3059335,0.0,0.9233056,0.1253241,12,6146.1724,3.7943,-0.2376,0.2,-0.03,0.03550124,0,,True,True
4345775217221821312,243.90633606005997,-8.371641161548801,70.73714672122247,0.06312427,232.2303207442892,-495.3782016299215,5.327651,0.0,0.98405105,0.12072877,9,5678.4277,4.3571,-0.4432,0.06,-0.13,0.075527266,0,,True,True
